Park_Name,Council,Latitude,Longitude,Suburb,Off_Leash_Area,Dog_Bag_Dispenser,Bins,Water_Fountain
Davies Reserve,City of Monash,-37.9056,145.0944,Oakleigh South,Yes,Yes,Yes,No
Jells Park,Parks Victoria,-37.8833,145.2,Wheelers Hill,No,Yes,Yes,Yes
Nortons Park,Knox City Council,-37.8833,145.2167,Wheelers Hill,Yes,Yes,Yes,Yes
Mahoneys Reserve Oval,City of Whitehorse,-37.8333,145.3,Forest Hill,Yes,Yes,Yes,No
Brighton Dog Beach (Sandown Street),City of Bayside,-37.9167,145,Brighton,Yes,Yes,Yes,Yes
Altona Dog Beach,Hobsons Bay City Council,-37.8667,144.8333,Altona,Yes,Yes,Yes,Yes
PA Burns Reserve,Hobsons Bay City Council,-37.8667,144.8333,Altona,Yes,Yes,Yes,Yes
St Kilda West Beach,City of Port Phillip,-37.8667,144.9667,St Kilda,Yes,Yes,Yes,Yes
St Kilda Harbour,City of Port Phillip,-37.8667,144.9667,St Kilda,Yes,Yes,Yes,Yes
Elwood Beach (North End),City of Port Phillip,-37.8833,145,Elwood,Yes,Yes,Yes,Yes
Port Melbourne Beach,City of Port Phillip,-37.8333,144.9167,Port Melbourne,Yes,Yes,Yes,Yes
Sandridge Beach,City of Port Phillip,-37.8333,144.9167,Port Melbourne,Yes,Yes,Yes,Yes
Mentone Beach,City of Kingston,-37.9833,145.05,Mentone,Yes,Yes,Yes,Yes
Williamstown Beach,Hobsons Bay City Council,-37.8667,144.9,Williamstown,Yes,Yes,Yes,Yes
Keast Park Dog Beach,Frankston City Council,-38.15,145.1167,Frankston,Yes,Yes,Yes,Yes
Royal Beach,Mornington Peninsula Shire,-38.2167,145.1333,Mornington,Yes,Yes,Yes,Yes
Flinders Beach,Mornington Peninsula Shire,-38.45,145.0167,Flinders,Yes,Yes,Yes,No
Green Point Beach,City of Bayside,-37.9167,145,Brighton,Yes,Yes,Yes,No
Hampton Dog Beach,City of Bayside,-37.95,145.0167,Hampton,Yes,Yes,Yes,No
Sandringham Harbour Beach,City of Bayside,-37.95,145.0333,Sandringham,Yes,Yes,Yes,Yes
Ricketts Point Beach,City of Bayside,-37.9667,145.0333,Beaumaris,Yes,Yes,Yes,No
Fraser Street Reserve,Melton City Council,-37.6833,144.5667,Melton South,Yes,Yes,Yes,Yes
Toolern Creek Linear Park,Melton City Council,-37.7167,144.5833,Melton,Yes,Yes,Yes,No
Eastern North Reserve,City of Port Phillip,-37.8333,144.9667,South Melbourne,Yes,Yes,Yes,Yes
Curtain Square,City of Melbourne,-37.8,144.9667,Carlton North,Yes,Yes,Yes,Yes
MacArthur Square,City of Melbourne,-37.8,144.9833,Carlton,Yes,Yes,Yes,Yes
M.O. Moran Reserve Fenced Dog Park,City of Port Phillip,-37.8889,145,Elwood,Yes,Yes,Yes,Yes
Alma Park West,City of Port Phillip,-37.8694,145.0033,St Kilda East,Yes,Yes,Yes,Yes
Alma Park East,City of Port Phillip,-37.8694,145.0033,St Kilda East,Yes,Yes,Yes,Yes
Barkly Gardens,City of Yarra,-37.825,145,Richmond,Yes,Yes,Yes,Yes
Doug Denyer Reserve,City of Kingston,-38,145.1,Mordialloc,Yes,Yes,Yes,Yes
Bundoora Park Fenced Dog Park,City of Darebin,-37.7167,145.05,Bundoora,Yes,Yes,Yes,Yes
Footscray Park,City of Maribyrnong,-37.7944,144.8944,Footscray,Yes,Yes,Yes,No
Scovell Reserve,City of Maribyrnong,-37.7833,144.8611,Maidstone,Yes,Yes,Yes,Yes
Darebin Creek Forest Park,City of Banyule,-37.75,145.0667,Heidelberg West,Yes,Yes,Yes,No
Darebin Parklands (Ivanhoe),City of Banyule,-37.7667,145.05,Ivanhoe,Yes,Yes,Yes,No
Norris Bank Reserve Fenced Dog Park,City of Whittlesea,-37.6944,145.0722,Bundoora,Yes,Yes,Yes,Yes
Green Gully Reserve Fenced Dog Park,City of Brimbank,-37.75,144.8167,Keilor,Yes,Yes,Yes,Yes
Martin Reserve Fenced Dog Park,City of Maribyrnong,-37.7833,144.8833,West Footscray,Yes,Yes,Yes,Yes
Kevin Flint Memorial Reserve,City of Darebin,-37.85,144.95,Preston,Yes,Yes,Yes,Yes
Gilpin Park Fenced Dog Park,City of Merri-bek,-37.7833,144.9456,Brunswick West,Yes,Yes,Yes,Yes
Clayton Reserve,City of Monash,-37.9167,145.1167,Clayton,Yes,Yes,Yes,Yes
Briars Community Forest Fenced Dog Park,Mornington Peninsula Shire,-38.2833,145.0167,Mount Martha,Yes,Yes,Yes,No
Mornington Civic Reserve Fenced Dog Park,Mornington Peninsula Shire,-38.2167,145.1333,Mornington,Yes,Yes,Yes,Yes
Mount Martha Beach Walk,Mornington Peninsula Shire,-38.2667,145.0333,Mount Martha,Yes,No,No,No
Hawker Beach,Mornington Peninsula Shire,-38.2667,145.0333,Mount Martha,Yes,No,No,No
